Company name,Website,HQ city (BC),Employee range,Ownership/management signal,Open jobs count/hiring signal,CEO or manager name,CEO/manager title,Email address,Telephone number,LinkedIn / Apollo URL,Notes / confidence
WORKFORCE - Staffing Solutions,http://www.workforce.ca,"Vancouver, British Columbia",88,,Unknown (no hiring endpoint access),,,,+1 604-737-1188,http://www.linkedin.com/company/workforce-temporary-services,BC/size verified; hiring is proxy; people/contact fields limited by API access
David Suzuki Foundation,http://www.davidsuzuki.org,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 800-453-1533,http://www.linkedin.com/company/david-suzuki-foundation,BC/size verified; hiring is proxy; people/contact fields limited by API access
Semios,http://www.semios.com,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 604-229-2044,http://www.linkedin.com/company/semiosbio-technologies-inc,BC/size verified; hiring is proxy; people/contact fields limited by API access
MacDonald Search Group,http://www.macdonaldsearchgroup.com,"Vancouver, British Columbia",25,,Unknown (no hiring endpoint access),,,,+1 902-593-0565,http://www.linkedin.com/company/macdonald-search-group,BC/size verified; hiring is proxy; people/contact fields limited by API access
AlgaeCal Inc.,http://www.algaecal.com,"Vancouver, British Columbia",120,,Unknown (no hiring endpoint access),,,,+1 800-820-0184,http://www.linkedin.com/company/algaecal,BC/size verified; hiring is proxy; people/contact fields limited by API access
Clarius Mobile Health,http://www.clarius.com,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 778-800-9975,http://www.linkedin.com/company/clarius-mobile-heath-corp-,BC/size verified; hiring is proxy; people/contact fields limited by API access
Sanctuary AI,http://www.sanctuary.ai,"Vancouver, British Columbia",140,,Unknown (no hiring endpoint access),,,,+44 79 4495 1474,http://www.linkedin.com/company/sanctuaryai,BC/size verified; hiring is proxy; people/contact fields limited by API access
Affinity,http://www.affinity-group.ca,"Vancouver, British Columbia",110,,Unknown (no hiring endpoint access),,,,+1 800-665-6693,http://www.linkedin.com/company/affinity-staffing,BC/size verified; hiring is proxy; people/contact fields limited by API access
Klue,http://www.klue.com,"Vancouver, British Columbia",200,,Unknown (no hiring endpoint access),,,,+1 780-904-8301,http://www.linkedin.com/company/klue,BC/size verified; hiring is proxy; people/contact fields limited by API access
Destination Vancouver,http://www.destinationvancouver.com,"Vancouver, British Columbia",93,family,Unknown (no hiring endpoint access),,,,+1 604-682-2222,http://www.linkedin.com/company/destination-vancouver,BC/size verified; hiring is proxy; people/contact fields limited by API access
Chartered Professional Accountants of British Columbia,http://www.bccpa.ca,"Vancouver, British Columbia",170,,Unknown (no hiring endpoint access),,,,+1 604-872-7222,http://www.linkedin.com/company/cpabritishcolumbia,BC/size verified; hiring is proxy; people/contact fields limited by API access
STRIVE Recruitment Inc.,http://www.striverecruitment.ca,"Vancouver, British Columbia",36,,Unknown (no hiring endpoint access),,,,+1 604-336-8844,http://www.linkedin.com/company/strive-recruitment-inc-,BC/size verified; hiring is proxy; people/contact fields limited by API access
Destination British Columbia,http://www.destinationbc.ca,"Vancouver, British Columbia",160,,Unknown (no hiring endpoint access),,,,+1 877-388-4440,http://www.linkedin.com/company/destinationbritishcolumbia,BC/size verified; hiring is proxy; people/contact fields limited by API access
TPD® Workforce Solutions,http://www.tpd.com,"Vancouver, British Columbia",170,,Unknown (no hiring endpoint access),,,,+1 888-685-3530,http://www.linkedin.com/company/tpd-hr,BC/size verified; hiring is proxy; people/contact fields limited by API access
Group 8,http://www.machinelearningintelligence.com,"Vancouver, British Columbia",50,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/group8inc,BC/size verified; hiring is proxy; people/contact fields limited by API access
Montage Gold,http://www.montagegold.com,"Vancouver, British Columbia",35,,Unknown (no hiring endpoint access),,,,+1 604-689-7842,http://www.linkedin.com/company/montage-gold-corp,BC/size verified; hiring is proxy; people/contact fields limited by API access
KIT + ACE,http://www.kitandace.com,"Vancouver, British Columbia",130,,Unknown (no hiring endpoint access),,,,+1 844-548-6223,http://www.linkedin.com/company/kit-and-ace,BC/size verified; hiring is proxy; people/contact fields limited by API access
WildBrain Studios,,"Vancouver, British Columbia",91,family,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/wildbrainstudios,BC/size verified; hiring is proxy; people/contact fields limited by API access
Set 2 Close | B Corp™,http://www.set2close.io,"Vancouver, British Columbia",40,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/set-2-close,BC/size verified; hiring is proxy; people/contact fields limited by API access
The Fraser Institute,http://www.fraserinstitute.org,"Vancouver, British Columbia",110,private,Unknown (no hiring endpoint access),,,,+1 604-688-0221,http://www.linkedin.com/company/the-fraser-institute,BC/size verified; hiring is proxy; people/contact fields limited by API access
Swim Recruiting,http://www.swimrecruiting.com,"Vancouver, British Columbia",48,,Unknown (no hiring endpoint access),,,,+1 604-689-7946,http://www.linkedin.com/company/swim-recruiting,BC/size verified; hiring is proxy; people/contact fields limited by API access
Vard Marine Inc,http://www.vardmarine.com,"Vancouver, British Columbia",110,,Unknown (no hiring endpoint access),,,,+1 604-216-3360,http://www.linkedin.com/company/vardmarine,BC/size verified; hiring is proxy; people/contact fields limited by API access
Craver,http://www.getcraver.com,"Vancouver, British Columbia",33,,Unknown (no hiring endpoint access),,,,+1 800-688-1916,http://www.linkedin.com/company/craver-solutions,BC/size verified; hiring is proxy; people/contact fields limited by API access
Empowered Startups,http://www.empoweredstartups.com,"Vancouver, British Columbia",27,founder,Unknown (no hiring endpoint access),,,,+1 604-229-1052,http://www.linkedin.com/company/empoweredstartups,BC/size verified; hiring is proxy; people/contact fields limited by API access
Skeena Gold + Silver,http://www.skeenagoldsilver.com,"Vancouver, British Columbia",83,,Unknown (no hiring endpoint access),,,,+1 604-684-8725,http://www.linkedin.com/company/skeena-gold-silver,BC/size verified; hiring is proxy; people/contact fields limited by API access
Relic Entertainment,http://www.relic.com,"Vancouver, British Columbia",130,,Unknown (no hiring endpoint access),,,,+1 604-801-6577,http://www.linkedin.com/company/relic-entertainment,BC/size verified; hiring is proxy; people/contact fields limited by API access
Merkle | Cardinal Path,http://www.cardinalpath.com,"Vancouver, British Columbia",160,,Unknown (no hiring endpoint access),,,,+1 480-285-1622,http://www.linkedin.com/company/cardinal-path,BC/size verified; hiring is proxy; people/contact fields limited by API access
IT/IQ Tech Recruiters,http://www.it-iq.com,"Vancouver, British Columbia",66,,Unknown (no hiring endpoint access),,,,+1 604-294-1200,http://www.linkedin.com/company/it-iq,BC/size verified; hiring is proxy; people/contact fields limited by API access
tentree,http://www.tentree.com,"Vancouver, British Columbia",71,,Unknown (no hiring endpoint access),,,,+1 800-535-2610,http://www.linkedin.com/company/ten-tree-apparel,BC/size verified; hiring is proxy; people/contact fields limited by API access
Greater Vancouver Board of Trade,http://www.boardoftrade.com,"Vancouver, British Columbia",130,,Unknown (no hiring endpoint access),,,,+1 604-681-2111,http://www.linkedin.com/company/vancouver-board-of-trade,BC/size verified; hiring is proxy; people/contact fields limited by API access
Inca One Gold Corp. Perú,,"Vancouver, British Columbia",33,,Unknown (no hiring endpoint access),,,,+1 604-568-4877,http://www.linkedin.com/company/inca-one-gold-corp-per%c3%ba,BC/size verified; hiring is proxy; people/contact fields limited by API access
Aspect Biosystems,http://www.aspectbiosystems.com,"Vancouver, British Columbia",140,,Unknown (no hiring endpoint access),,,,+1 604-263-0502,http://www.linkedin.com/company/aspect-biosystems,BC/size verified; hiring is proxy; people/contact fields limited by API access
Intern Insider,http://www.interninsider.me,"Vancouver, British Columbia",28,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/intern-insider-me,BC/size verified; hiring is proxy; people/contact fields limited by API access
BIV News,http://www.biv.com,"Vancouver, British Columbia",44,,Unknown (no hiring endpoint access),,,,+1 604-688-2398,http://www.linkedin.com/company/bivnews,BC/size verified; hiring is proxy; people/contact fields limited by API access
Student Biotechnology Network,http://www.thesbn.ca,"Vancouver, British Columbia",81,family,Unknown (no hiring endpoint access),,,,+1 604-767-4712,http://www.linkedin.com/company/thesbn,BC/size verified; hiring is proxy; people/contact fields limited by API access
beloFX,http://www.belofx.com,"Vancouver, British Columbia",130,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/belofx,BC/size verified; hiring is proxy; people/contact fields limited by API access
Owl.co,http://www.owl.co,"Vancouver, British Columbia",92,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/owldotco,BC/size verified; hiring is proxy; people/contact fields limited by API access
Elevation Capital,http://www.elevationcapital.vc,"Vancouver, British Columbia",37,"founder, private",Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/elevation-capital,BC/size verified; hiring is proxy; people/contact fields limited by API access
Turtle,http://www.turtle.design,"Vancouver, British Columbia",64,,Unknown (no hiring endpoint access),,,,+1 604-349-7342,http://www.linkedin.com/company/turtledesign,BC/size verified; hiring is proxy; people/contact fields limited by API access
Robert Allan Ltd.,http://www.ral.ca,"Vancouver, British Columbia",88,,Unknown (no hiring endpoint access),,,,+1 604-736-9466,http://www.linkedin.com/company/robert-allan-ltd,BC/size verified; hiring is proxy; people/contact fields limited by API access
Rainmaker Entertainment,,"Vancouver, British Columbia",71,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/mainframestudios,BC/size verified; hiring is proxy; people/contact fields limited by API access
Breakthrough Academy,http://www.btacademy.com,"Vancouver, British Columbia",60,,Unknown (no hiring endpoint access),,,,+1 800-875-1704,http://www.linkedin.com/company/breakthroughacademy,BC/size verified; hiring is proxy; people/contact fields limited by API access
Ero Copper Corp,,"Vancouver, British Columbia",130,,Unknown (no hiring endpoint access),,,,+1 604-449-9244,http://www.linkedin.com/company/ero-copper-corp,BC/size verified; hiring is proxy; people/contact fields limited by API access
Life Sciences BC,http://www.lifesciencesbc.ca,"Vancouver, British Columbia",28,private,Unknown (no hiring endpoint access),,,,+1 604-669-9909,http://www.linkedin.com/company/lifesciences-bc,BC/size verified; hiring is proxy; people/contact fields limited by API access
Ocean Wise,http://www.ocean.org,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 877-427-2422,http://www.linkedin.com/company/oceanwise,BC/size verified; hiring is proxy; people/contact fields limited by API access
D3 Security,http://www.d3security.com,"Vancouver, British Columbia",180,,Unknown (no hiring endpoint access),,,,+1 800-608-0081,http://www.linkedin.com/company/d3-security-management-systems,BC/size verified; hiring is proxy; people/contact fields limited by API access
NexGen Energy Ltd.,http://www.nexgenenergy.ca,"Vancouver, British Columbia",140,,Unknown (no hiring endpoint access),,,,+1 604-428-4112,http://www.linkedin.com/company/nexgen-energy-ltd-,BC/size verified; hiring is proxy; people/contact fields limited by API access
Canopy,http://www.canopyplanet.org,"Vancouver, British Columbia",81,,Unknown (no hiring endpoint access),,,,+1 604-253-4808,http://www.linkedin.com/company/canopyplanet,BC/size verified; hiring is proxy; people/contact fields limited by API access
Blackbird Interactive,http://www.blackbirdinteractive.com,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 604-424-4355,http://www.linkedin.com/company/blackbird-interactive-inc,BC/size verified; hiring is proxy; people/contact fields limited by API access
Keycafe,http://www.keycafe.com,"Vancouver, British Columbia",61,,Unknown (no hiring endpoint access),,,,+1 604-629-8860,http://www.linkedin.com/company/keycafe,BC/size verified; hiring is proxy; people/contact fields limited by API access
"Galvanize, now Diligent",http://www.wegalvanize.com,"Vancouver, British Columbia",61,,Unknown (no hiring endpoint access),,,,+1 604-669-4225,http://www.linkedin.com/company/wegalvanize,BC/size verified; hiring is proxy; people/contact fields limited by API access
Comm100,http://www.comm100.com,"Vancouver, British Columbia",93,,Unknown (no hiring endpoint access),,,,+1 778-785-0464,http://www.linkedin.com/company/comm100-network-corporation,BC/size verified; hiring is proxy; people/contact fields limited by API access
adMare BioInnovations,http://www.admarebio.com,"Vancouver, British Columbia",51,private,Unknown (no hiring endpoint access),,,,+1 514-375-3334,http://www.linkedin.com/company/admare-bioinnovations,BC/size verified; hiring is proxy; people/contact fields limited by API access
Giant Ant,http://www.giantant.ca,"Vancouver, British Columbia",40,,Unknown (no hiring endpoint access),,,,+1 604-408-2099,http://www.linkedin.com/company/giant-ant-media,BC/size verified; hiring is proxy; people/contact fields limited by API access
SAXX,http://www.saxxunderwear.com,"Vancouver, British Columbia",200,,Unknown (no hiring endpoint access),,,,+1 844-877-7299,http://www.linkedin.com/company/saxx-underwear-co-,BC/size verified; hiring is proxy; people/contact fields limited by API access
Weir MOTION METRICS™,http://www.motionmetrics.com,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 604-822-5842,http://www.linkedin.com/company/motionmetrics,BC/size verified; hiring is proxy; people/contact fields limited by API access
Blockchain Intelligence Group,http://www.blockchaingroup.io,"Vancouver, British Columbia",38,,Unknown (no hiring endpoint access),,,,+1 778-819-8704,http://www.linkedin.com/company/blockchain-intelligence-group,BC/size verified; hiring is proxy; people/contact fields limited by API access
Lumina Gold,http://www.luminagold.com,"Vancouver, British Columbia",72,,Unknown (no hiring endpoint access),,,,+1 604-646-1890,http://www.linkedin.com/company/lumina-gold,BC/size verified; hiring is proxy; people/contact fields limited by API access
Fast + Epp,http://www.fastepp.com,"Vancouver, British Columbia",95,,Unknown (no hiring endpoint access),,,,+1 604-731-7412,http://www.linkedin.com/company/fast-epp,BC/size verified; hiring is proxy; people/contact fields limited by API access
EarthDaily,http://www.earthdaily.com,"Vancouver, British Columbia",240,,Unknown (no hiring endpoint access),,,,+1 505-257-2109,http://www.linkedin.com/company/earthdailyanalytics,BC/size verified; hiring is proxy; people/contact fields limited by API access
Trace Labs,http://www.tracelabs.org,"Vancouver, British Columbia",48,family,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/tracelabs,BC/size verified; hiring is proxy; people/contact fields limited by API access
The Metals Company,http://www.metals.co,"Vancouver, British Columbia",47,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/the-metals-company,BC/size verified; hiring is proxy; people/contact fields limited by API access
Major Tom,http://www.majortom.com,"Vancouver, British Columbia",93,,Unknown (no hiring endpoint access),,,,+1 604-642-6765,http://www.linkedin.com/company/itsmajortom,BC/size verified; hiring is proxy; people/contact fields limited by API access
Maximizer,http://www.maximizer.com,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 604-601-8000,http://www.linkedin.com/company/maximizercrm,BC/size verified; hiring is proxy; people/contact fields limited by API access
Treewalk,http://www.treewalk.com,"Vancouver, British Columbia",67,private,Unknown (no hiring endpoint access),,,,+1 604-365-0425,http://www.linkedin.com/company/treewalk,BC/size verified; hiring is proxy; people/contact fields limited by API access
Newcore Gold,http://www.newcoregold.com,"Vancouver, British Columbia",41,private,Unknown (no hiring endpoint access),,,,+1 604-484-4399,http://www.linkedin.com/company/newcore-gold,BC/size verified; hiring is proxy; people/contact fields limited by API access
Procurify,http://www.procurify.com,"Vancouver, British Columbia",180,,Unknown (no hiring endpoint access),,,,+1 888-463-5254,http://www.linkedin.com/company/procurify,BC/size verified; hiring is proxy; people/contact fields limited by API access
Foresight Canada,http://www.foresightcac.com,"Vancouver, British Columbia",180,private,Unknown (no hiring endpoint access),,,,+1 604-245-0042,http://www.linkedin.com/company/foresightcac,BC/size verified; hiring is proxy; people/contact fields limited by API access
Clearly,http://www.clearly.ca,"Vancouver, British Columbia",150,,Unknown (no hiring endpoint access),,,,+1 866-414-2326,http://www.linkedin.com/company/clearly,BC/size verified; hiring is proxy; people/contact fields limited by API access
TechioSoft Systems,http://www.techiosoft.com,"Vancouver, British Columbia",27,,Unknown (no hiring endpoint access),,,,+1 604-260-3487,http://www.linkedin.com/company/techiosoft,BC/size verified; hiring is proxy; people/contact fields limited by API access
Thinkingbox,http://www.thinkingbox.com,"Vancouver, British Columbia",110,,Unknown (no hiring endpoint access),,,,+1 604-568-0601,http://www.linkedin.com/company/thinkingbox,BC/size verified; hiring is proxy; people/contact fields limited by API access
Asia Pacific Foundation of Canada,http://www.asiapacific.ca,"Vancouver, British Columbia",120,,Unknown (no hiring endpoint access),,,,+1 604-684-5986,http://www.linkedin.com/company/apfcanada,BC/size verified; hiring is proxy; people/contact fields limited by API access
Annex Consulting Group,,"Vancouver, British Columbia",25,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/annex-consulting-group,BC/size verified; hiring is proxy; people/contact fields limited by API access
Innovate BC,http://www.innovatebc.ca,"Vancouver, British Columbia",55,private,Unknown (no hiring endpoint access),,,,+1 604-335-2495,http://www.linkedin.com/company/innovatebc,BC/size verified; hiring is proxy; people/contact fields limited by API access
roomvu,http://www.roomvu.com,"Vancouver, British Columbia",75,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/roomvu,BC/size verified; hiring is proxy; people/contact fields limited by API access
Noise Digital,http://www.noisedigital.com,"Vancouver, British Columbia",66,,Unknown (no hiring endpoint access),,,,+1 604-689-9574,http://www.linkedin.com/company/noise-digital,BC/size verified; hiring is proxy; people/contact fields limited by API access
"ISCT, International Society for Cell & Gene Therapy",http://www.isctglobal.org,"Vancouver, British Columbia",86,,Unknown (no hiring endpoint access),,,,+1 604-874-4366,http://www.linkedin.com/company/isctglobal,BC/size verified; hiring is proxy; people/contact fields limited by API access
Foran Mining,http://www.foranmining.com,"Vancouver, British Columbia",170,,Unknown (no hiring endpoint access),,,,+1 604-488-0008,http://www.linkedin.com/company/foran-mining,BC/size verified; hiring is proxy; people/contact fields limited by API access
Blast Radius,,"Vancouver, British Columbia",96,,Unknown (no hiring endpoint access),,,,+1 212-925-4900,http://www.linkedin.com/company/blast-radius,BC/size verified; hiring is proxy; people/contact fields limited by API access
BC Tech,http://www.wearebctech.com,"Vancouver, British Columbia",58,,Unknown (no hiring endpoint access),,,,+1 604-683-6159,http://www.linkedin.com/company/bctech,BC/size verified; hiring is proxy; people/contact fields limited by API access
Dan Lok®,http://www.danlok.com,"Vancouver, British Columbia",94,,Unknown (no hiring endpoint access),,,,+1 833-432-6565,http://www.linkedin.com/company/danlok,BC/size verified; hiring is proxy; people/contact fields limited by API access
Modalis Infrastructure Partners Inc.,http://www.modalis.ca,"Vancouver, British Columbia",36,private,Unknown (no hiring endpoint access),,,,+1 778-939-8891,http://www.linkedin.com/company/modalis-infrastructure-partners-inc-,BC/size verified; hiring is proxy; people/contact fields limited by API access
Spocket,http://www.spocket.co,"Vancouver, British Columbia",47,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/spocket-inc,BC/size verified; hiring is proxy; people/contact fields limited by API access
First Mining Gold Corp.,http://www.firstmininggold.com,"Vancouver, British Columbia",33,,Unknown (no hiring endpoint access),,,,+1 844-306-8827,http://www.linkedin.com/company/first-mining-gold-corp,BC/size verified; hiring is proxy; people/contact fields limited by API access
Riipen,http://www.riipen.com,"Vancouver, British Columbia",170,,Unknown (no hiring endpoint access),,,,+1 833-374-4736,http://www.linkedin.com/company/riipen-networks-inc,BC/size verified; hiring is proxy; people/contact fields limited by API access
e-Visa Immigration Services,http://www.evisaimmigration.com,"Vancouver, British Columbia",38,family,Unknown (no hiring endpoint access),,,,+1 604-979-0909,http://www.linkedin.com/company/e-visaimmigration,BC/size verified; hiring is proxy; people/contact fields limited by API access
OnActuate,http://www.onactuate.com,"Vancouver, British Columbia",86,,Unknown (no hiring endpoint access),,,,+1 866-246-2568,http://www.linkedin.com/company/onactuate,BC/size verified; hiring is proxy; people/contact fields limited by API access
PayByPhone,http://www.paybyphone.com,"Vancouver, British Columbia",250,,Unknown (no hiring endpoint access),,,,+1 877-610-2054,http://www.linkedin.com/company/paybyphone-technologies-inc-,BC/size verified; hiring is proxy; people/contact fields limited by API access
The Latest Scoop,http://www.thelatestscoop.ca,"Vancouver, British Columbia",120,,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/the-latest-scoop,BC/size verified; hiring is proxy; people/contact fields limited by API access
