Company name,Website,HQ city (BC),Employee range,Ownership/management signal,Open jobs count/hiring signal,CEO or manager name,CEO/manager title,Email address,Telephone number,LinkedIn / Apollo URL,Notes / confidence
e-Visa Immigration Services,http://www.evisaimmigration.com,"Vancouver, British Columbia",38,family,Unknown (no hiring endpoint access),,,,+1 604-979-0909,http://www.linkedin.com/company/e-visaimmigration,BC/size verified; hiring is proxy; people/contact fields limited by API access
Empowered Startups,http://www.empoweredstartups.com,"Vancouver, British Columbia",27,founder,Unknown (no hiring endpoint access),,,,+1 604-229-1052,http://www.linkedin.com/company/empoweredstartups,BC/size verified; hiring is proxy; people/contact fields limited by API access
Herschel Supply Company,http://www.herschel.com,"Vancouver, British Columbia",240,family,Unknown (no hiring endpoint access),,,,+1 888-997-5597,http://www.linkedin.com/company/herschelsupply,BC/size verified; hiring is proxy; people/contact fields limited by API access
Life Sciences BC,http://www.lifesciencesbc.ca,"Vancouver, British Columbia",28,private,Unknown (no hiring endpoint access),,,,+1 604-669-9909,http://www.linkedin.com/company/lifesciences-bc,BC/size verified; hiring is proxy; people/contact fields limited by API access
Modalis Infrastructure Partners Inc.,http://www.modalis.ca,"Vancouver, British Columbia",36,private,Unknown (no hiring endpoint access),,,,+1 778-939-8891,http://www.linkedin.com/company/modalis-infrastructure-partners-inc-,BC/size verified; hiring is proxy; people/contact fields limited by API access
Set 2 Close | B Corp™,http://www.set2close.io,"Vancouver, British Columbia",40,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/set-2-close,BC/size verified; hiring is proxy; people/contact fields limited by API access
Taylor Ryan Executive Search Partners,http://www.taylorryan.com,"Vancouver, British Columbia",28,private,Unknown (no hiring endpoint access),,,,+1 778-775-1047,http://www.linkedin.com/company/taylor-ryan-executive-search-partners,BC/size verified; hiring is proxy; people/contact fields limited by API access
Trace Labs,http://www.tracelabs.org,"Vancouver, British Columbia",48,family,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/tracelabs,BC/size verified; hiring is proxy; people/contact fields limited by API access
WildBrain Studios,,"Vancouver, British Columbia",91,family,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/wildbrainstudios,BC/size verified; hiring is proxy; people/contact fields limited by API access
Affinity,http://www.affinity-group.ca,"Vancouver, British Columbia",110,,Unknown (no hiring endpoint access),,,,+1 800-665-6693,http://www.linkedin.com/company/affinity-staffing,BC/size verified; hiring is proxy; people/contact fields limited by API access
AlgaeCal Inc.,http://www.algaecal.com,"Vancouver, British Columbia",120,,Unknown (no hiring endpoint access),,,,+1 800-820-0184,http://www.linkedin.com/company/algaecal,BC/size verified; hiring is proxy; people/contact fields limited by API access
Asia Pacific Foundation of Canada,http://www.asiapacific.ca,"Vancouver, British Columbia",120,,Unknown (no hiring endpoint access),,,,+1 604-684-5986,http://www.linkedin.com/company/apfcanada,BC/size verified; hiring is proxy; people/contact fields limited by API access
Aspect Biosystems,http://www.aspectbiosystems.com,"Vancouver, British Columbia",140,,Unknown (no hiring endpoint access),,,,+1 604-263-0502,http://www.linkedin.com/company/aspect-biosystems,BC/size verified; hiring is proxy; people/contact fields limited by API access
BC Tech,http://www.wearebctech.com,"Vancouver, British Columbia",58,,Unknown (no hiring endpoint access),,,,+1 604-683-6159,http://www.linkedin.com/company/bctech,BC/size verified; hiring is proxy; people/contact fields limited by API access
BIV News,http://www.biv.com,"Vancouver, British Columbia",44,,Unknown (no hiring endpoint access),,,,+1 604-688-2398,http://www.linkedin.com/company/bivnews,BC/size verified; hiring is proxy; people/contact fields limited by API access
